Game Number, Win Game, Money
1,True,108
2,False,99
3,True,102
4,False,99
5,True,102
6,True,102
7,False,99
8,True,102
9,True,102
10,False,100
11,True,102
12,False,98
13,False,99
14,True,101
15,False,98
16,True,102
17,False,99
18,False,99
19,True,102
20,False,0
21,False,99
22,False,99
23,False,99
24,False,99
25,False,0
26,True,300
27,True,120
28,False,100
29,True,300
30,False,0
31,True,300
32,False,0
33,False,90
34,False,80
35,False,70
36,True,90
37,True,110
38,False,0
39,False,-100
40,False,0
41,True,180
42,True,380
43,False,280
44,True,480
45,False,380
46,False,280
47,True,480
48,True,680
49,True,300
50,False,200
